Temp,Humd,Label
25.0,41.0,1
25.0,41.0,1
25.0,41.0,1
25.0,41.0,1
25.0,41.0,1
25.0,41.0,1
25.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
